Time Period,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Less than 20 years,"5,764,298","5,844,248","5,910,431","5,969,373","6,047,751","6,117,708","6,174,852","6,227,386","6,245,606","6,230,257","6,292,314"
From 20 to 29 years,"3,327,546","3,377,726","3,417,818","3,462,305","3,508,370","3,560,321","3,602,681","3,636,939","3,594,153","3,445,415","3,448,727"
From 30 to 39 years,"3,146,977","3,205,359","3,259,598","3,325,249","3,401,547","3,495,592","3,586,465","3,673,581","3,751,503","3,767,007","3,799,231"
From 40 to 49 years,"3,167,960","3,190,866","3,203,455","3,325,249","3,401,547","3,495,592","3,586,465","3,673,581","3,751,503","3,767,007","3,799,231"
50 years or over,"7,326,684","7,509,930","7,684,394","7,842,028","8,001,533","8,165,772","8,331,682","8,519,291","8,759,606","8,940,865","9,114,839"
